ProjectName,Is_Real_ML_producer,Is_ML_producer
921kiyo/3d-dl,Yes,No
aaronlam88/cmpe295,Yes,No
abdullahselek/koolsla,Yes,No
adler-j/learned_primal_dual,Yes,No
agusgun/FakeImageDetector,Yes,No
AhmedImtiazPrio/Keras-AudioDataGenerator,Yes,No
akanimax/BMSG-GAN,Yes,No
allenai/scispacy,Yes,No
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,No
ambakick/Person-Detection-and-Tracking,Yes,No
amirassov/retinanet,Yes,No
AntiAegis/Human-Segmentation-PyTorch,Yes,No
appinho/SAComputerVisionMachineLearning,Yes,No
aqlaboratory/rgn,Yes,No
arose13/rosey,Yes,No
AssembleSoftware/IoTPy,Yes,No
Atomu2014/product-nets,Yes,No
YU1ut/MixMatch-pytorch,Yes,No
BannyStone/Video_Classification_PyTorch,Yes,No
bat67/TibetanMNIST,Yes,No
bdqnghi/ggnn.tensorflow,Yes,No
becauseofAI/MobileFace,Yes,No
belzebalex/wargames,Yes,No
bfelbo/DeepMoji,Yes,No
bfortuner/pytorch_tiramisu,Yes,No
yu4u/noise2noise,Yes,No
biocore/calour,Yes,No
bitextor/bitextor,Yes,No
blue-oil/blueoil,Yes,No
brannondorsey/GloVe-experiments,Yes,No
bsamseth/tictacNET,Yes,No
bzier/gym-mupen64plus,Yes,No
Cartus/AGGCN_TACRED,Yes,No
chaitjo/regression-stock-prediction,Yes,No
chaitjo/working-women,Yes,No
Chicoryn/dream-go,Yes,No
chizhanyuefeng/FD-CNN,Yes,No
chrisPiemonte/url2vec,Yes,No
cjekel/tindetheus,Yes,No
claudio-unipv/quasi-unsupervised-cc,Yes,No
ClaudiuGeorgiu/RiskInDroid,Yes,No
CLUEbenchmark/CLUE,Yes,No
cmasch/densenet,Yes,No
CODAIT/deep-histopath,Yes,No
cpmpercussion/robojam,Yes,No
crouchred/speaker-recognition-py3,Yes,No
CryoliteZ/Plants-Identification,Yes,No
cs-chan/Deep-Plant,Yes,No
csvance/keras-mobile-detectnet,Yes,No
